"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","P3_NP","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","Test_Log","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"MDCK",0.6,0,0,0,0,2,0,1,2,5,21894,0.000228373070247556,1,5,"0",1,0.000228373070247556,5,0.698970004336019,0,0,0,1914,0.0339876221795927,0.000113404936774418
"MDCK",0.6,0,0,1,0,3,0,2,1,7,30408,0.000230202578268877,1,7,"0",1,0.000230202578268877,7,0.845098040014257,0,0,0,1915,0.00801104972375689,0.000113404936774418
"MDCK",0.6,0,1,1,0,1,0,1,3,7,28279,0.000247533505428056,1,7,"0",1,0.000247533505428056,7,0.845098040014257,0,0,0,1916,0.0752855475794759,0.000113404936774418
"MDCK",0.6,0,0,1,1,2,0,0,2,6,23768,0.000252440255806126,1,6,"0",1,0.000252440255806126,6,0.778151250383644,0,0,0,1917,0.019822570563062,0.000113404936774418
"MDCK",0.6,0,2,1,1,3,1,0,0,8,31567,0.00025342921405265,1,8,"0",1,0.00025342921405265,8,0.903089986991944,0,0,0,1918,0.00391759326723045,0.000113404936774418
"MDCK",0.6,0,1,0,0,2,0,1,0,4,15368,0.000260281103591879,1,4,"0",1,0.000260281103591879,4,0.602059991327962,0,0,0,1919,0.0270366996356065,0.000113404936774418
"MDCK",0.6,0,2,2,0,2,0,1,4,11,42226,0.000260503007625634,1,11,"0",1,0.000260503007625634,11,1.04139268515823,0,0,0,1920,0.000852555297683942,0.000113404936774418
"MDCK",0.6,0,2,2,2,1,0,1,3,11,42218,0.000260552371026576,1,11,"0",1,0.000260552371026576,11,1.04139268515823,0,0,0,1921,0.000189492633473751,0.000113404936774418
"MDCK",0.6,0,0,0,1,2,0,2,1,6,22790,0.000263273365511189,1,6,"0",1,0.000263273365511189,6,0.778151250383644,0,0,0,1922,0.010443176831944,0.000113404936774418
"MDCK",0.6,0,1,0,1,2,0,2,2,8,30352,0.000263574064312072,1,8,"0",1,0.000263574064312072,8,0.903089986991944,0,0,0,1923,0.0011421542786856,0.000113404936774418
"MDCK",0.6,0,2,1,1,1,0,2,0,7,25995,0.000269282554337373,1,7,"0",1,0.000269282554337373,7,0.845098040014257,0,0,0,1924,0.0216580111559915,0.000113404936774418
"MDCK",0.6,1,1,1,0,2,0,2,2,9,32883,0.000273697655323419,1,9,"1",1,0.000273697655323419,9,0.954242509439325,0,0,0,1925,0.0163957928760409,0.000113404936774418
"MDCK",0.6,0,1,1,0,4,0,0,2,8,28667,0.000279066522482297,1,8,"0",1,0.000279066522482297,8,0.903089986991944,0,0,0,1926,0.0196160509761514,0.000113404936774418
