"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","mVarPB2","mVarPB1","mVarPA","mVarHA","mVarNP","mVarNA","mVarM","mVarNS","mHelperPB2","mHelperPB1","mHelperPA","mHelperHA","mHelperNP","mHelperNA","mHelperM","mHelperNS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","VAR","HELPER","HELPER_Segments","WT_Test_Prop","VAR_Test_Prop","WT_Prop","VAR_Prop","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","HELPER_Prop","Purity","Test_Log","Minor_Frac","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"DF1",0.02,0,0,0,0,0,0,0,0,0,1,1,4,0,4,8,0,2,13,4,138,206,115,122,93,711,3233,0.219919579338076,0.0055675842870399,0,18,693,8,0,1,0,0.0253164556962025,0.0253164556962025,0.0055675842870399,18,0.974683544303797,1,1.25527250510331,0,0,0,0,52,5,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,0,0,2,0,13,1,0,0,1,6,7,4,198,186,44,69,94,625,2989,0.209100033456005,0.00568752091000335,0,17,608,8,0,1,0,0.0272,0.0272,0.00568752091000335,17,0.9728,1,1.23044892137827,0,0,0,0,53,-0.0555555555555556,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,0,4,0,0,0,19,28,0,0,11,17,31,324,194,175,10,31,844,9530,0.0885624344176285,0.00535152151101784,0,51,793,8,0,1,0,0.0604265402843602,0.0604265402843602,0.00535152151101784,51,0.93957345971564,1,1.70757017609794,0,0,0,0,54,2,0.000168154525238337
"DF1",0.02,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,1,6,2,48,57,29,35,37,234,1259,0.185861795075457,0.0150913423351867,19,0,215,8,1,0,0.0811965811965812,0,0.0811965811965812,0.0150913423351867,19,0.918803418803419,1,1.27875360095283,0,0,0,0,55,-0.627450980392157,0.000168154525238337
"DF1",0.02,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,3,1,15,16,2,5,11,60,1136,0.0528169014084507,0.00440140845070423,1,4,55,8,0.2,0.8,0.0166666666666667,0.0666666666666667,0.0833333333333333,0.00440140845070423,5,0.916666666666667,0.8,0.698970004336019,0.139794000867204,0,0,0,56,-0.736842105263158,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,0,0,0,1,1,14,6,4,5,6,5,12,2,142,74,42,76,65,456,2568,0.177570093457944,0.014797507788162,1,37,418,8,0.0263157894736842,0.973684210526316,0.00219298245614035,0.081140350877193,0.0833333333333333,0.014797507788162,38,0.916666666666667,0.973684210526316,1.57978359661681,0.0415732525425476,0,0,0,57,6.6,0.000168154525238337
"DF1",0.02,0,0,2,0,12,0,7,62,0,0,0,0,0,0,0,0,13,16,17,69,113,108,59,458,936,8848,0.105786618444846,0.00938065099457504,83,0,853,8,1,0,0.0886752136752137,0,0.0886752136752137,0.00938065099457504,83,0.911324786324786,1,1.91907809237607,0,0,0,0,58,1.18421052631579,0.000168154525238337
"DF1",0.02,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,1,2,1,57,17,10,7,24,131,872,0.150229357798165,0.0137614678899083,12,0,119,8,1,0,0.0916030534351145,0,0.0916030534351145,0.0137614678899083,12,0.908396946564885,1,1.07918124604762,0,0,0,0,59,-0.855421686746988,0.000168154525238337
"DF1",0.02,0,2,0,1,5,1,1,3,1,0,0,1,1,1,0,0,2,1,1,58,40,16,18,32,185,2628,0.0703957382039574,0.00646879756468798,13,4,168,8,0.764705882352941,0.235294117647059,0.0702702702702703,0.0216216216216216,0.0918918918918919,0.00646879756468798,17,0.908108108108108,0.764705882352941,1.23044892137827,0.289517393265476,0,0,0,60,0.416666666666667,0.000168154525238337
"DF1",0.02,0,0,0,3,3,0,1,0,0,0,0,2,1,0,0,6,2,5,1,61,40,13,13,20,171,1036,0.165057915057915,0.0154440154440154,7,9,155,8,0.4375,0.5625,0.0409356725146199,0.0526315789473684,0.0935672514619883,0.0154440154440154,16,0.906432748538012,0.5625,1.20411998265592,0.526802492411967,0,0,0,61,-0.0588235294117647,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,2,2,11,6,4,3,14,48,1182,0.0406091370558376,0.00423011844331641,0,5,43,8,0,1,0,0.104166666666667,0.104166666666667,0.00423011844331641,5,0.895833333333333,1,0.698970004336019,0,0,0,0,62,-0.6875,0.000168154525238337
"DF1",0.02,0,0,0,1,0,4,0,0,0,1,0,13,2,3,1,0,1,1,3,38,73,20,39,31,231,1317,0.175398633257403,0.0189825360668185,5,20,206,8,0.2,0.8,0.0216450216450216,0.0865800865800866,0.108225108225108,0.0189825360668185,25,0.891774891774892,0.8,1.39794000867204,0.279588001734408,0,0,0,63,4,0.000168154525238337
"DF1",0.02,2,11,0,0,0,0,206,131,0,0,0,0,1,0,0,0,21,24,9,654,367,143,370,1250,3189,10820,0.294731977818854,0.0324399260628466,350,1,2838,8,0.997150997150997,0.00284900284900285,0.10975227343995,0.000313577924114142,0.110065851364064,0.0324399260628466,351,0.889934148635936,0.997150997150997,2.54530711646582,0.00725158722639836,0,0,0,64,13.04,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,8,0,7,7,5,1,1,2,62,70,26,31,24,244,1210,0.201652892561983,0.0223140495867769,0,27,217,8,0,1,0,0.110655737704918,0.110655737704918,0.0223140495867769,27,0.889344262295082,1,1.43136376415899,0,0,0,0,65,-0.923076923076923,0.000168154525238337
"DF1",0.02,0,0,0,1,0,0,0,0,0,0,0,6,13,0,47,0,9,9,11,102,70,69,80,114,531,8251,0.0643558356562841,0.00812022785116956,1,66,464,8,0.0149253731343284,0.985074626865672,0.00188323917137476,0.124293785310734,0.126177024482109,0.00812022785116956,67,0.873822975517891,0.985074626865672,1.82607480270083,0.0272548478015049,0,0,0,66,1.48148148148148,0.000168154525238337
