"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop"
"DF1",0.06,0,0,0,0,0,1,0,0,1,589,0.00169779286926995,0.00169779286926995
"DF1",0.06,0,0,0,0,0,0,0,1,1,547,0.00182815356489945,0.00182815356489945
"DF1",0.06,0,0,0,0,0,0,0,0,0,346,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,840,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,333,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,377,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,380,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,688,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,495,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1385,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1431,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,283,0,0
"DF1",0.06,0,1,0,0,0,0,0,0,1,462,0.00216450216450216,0.00216450216450216
"DF1",0.06,0,0,0,0,0,0,0,0,0,496,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,685,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,439,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,787,0.00127064803049555,0.00127064803049555
"DF1",0.06,0,0,0,0,0,0,0,0,0,604,0,0
"DF1",0.06,0,2,0,0,3,0,1,0,6,2576,0.00232919254658385,0.00232919254658385
"DF1",0.06,0,0,0,0,1,0,0,0,1,441,0.00226757369614512,0.00226757369614512
"DF1",0.06,0,0,0,0,0,0,1,0,1,480,0.00208333333333333,0.00208333333333333
"DF1",0.06,0,0,0,0,0,0,0,0,0,1272,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,854,0.00117096018735363,0.00117096018735363
"DF1",0.06,0,0,0,2,0,0,0,0,2,1015,0.00197044334975369,0.00197044334975369
"DF1",0.06,0,0,0,0,0,0,0,0,0,393,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1335,0,0
"DF1",0.06,0,0,0,2,0,0,0,0,2,1010,0.00198019801980198,0.00198019801980198
